id,height,weight,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,preferred_foot_left,preferred_foot_right,attacking_work_rate_high,attacking_work_rate_medium,defensive_work_rate_high,defensive_work_rate_medium
33,182.88,159,54,65,58,40,52,45,30,44,41,43,46,43,43,47,59,62,62,48,48,59,43,54,64,40,19,38,35,53,60,63,13,6,8,8,11,1,0,0,1,0,1
34,180.34,174,51,64,57,39,51,44,30,43,41,42,45,42,42,46,59,61,62,47,48,55,37,53,63,31,27,38,28,52,59,63,6,22,45,22,22,1,0,0,1,0,1
35,200.66,212,52,65,58,40,52,45,30,44,41,43,46,43,43,47,59,62,62,48,48,56,38,54,64,32,28,38,29,53,60,63,6,22,46,22,22,1,0,0,1,0,1
36,182.88,161,47,60,22,48,52,39,30,26,41,26,49,34,66,59,59,65,62,48,48,56,63,35,64,32,28,38,29,53,45,63,6,22,49,22,22,1,0,0,1,0,1
37,177.8,157,53,60,22,48,52,39,30,26,41,26,49,34,66,59,59,65,62,48,48,56,68,35,64,32,28,38,29,53,45,63,6,22,49,22,22,0,1,0,1,0,1
38,182.88,157,53,60,22,48,52,39,30,26,41,26,49,34,66,59,59,65,62,48,48,56,68,35,64,32,28,38,29,53,45,63,6,22,49,22,22,0,1,0,1,0,1
39,198.12,174,65,67,64,58,60,66,52,66,67,63,62,67,77,74,85,51,92,61,65,66,71,57,60,55,64,68,61,23,22,24,16,11,12,9,13,0,1,0,1,0,1
40,182.88,150,66,70,64,58,60,66,52,66,67,63,62,67,81,75,85,51,92,61,65,66,71,57,60,55,64,68,61,23,22,24,16,11,12,9,13,0,1,0,1,0,1
41,172.72,154,66,70,64,58,60,66,52,66,67,63,62,67,78,75,85,51,92,61,65,66,71,57,60,55,64,68,61,23,22,24,16,11,12,9,13,0,1,0,1,0,1
42,182.88,168,67,72,65,52,59,66,51,66,68,62,64,67,82,80,81,50,92,60,71,72,71,56,59,54,67,71,60,22,21,21,15,10,11,8,12,0,1,0,1,0,1
43,187.96,174,68,72,67,52,59,66,51,69,68,62,64,68,82,80,81,50,92,60,71,72,71,56,59,54,67,71,60,22,21,21,15,10,11,8,12,0,1,0,1,0,1
44,182.88,165,68,77,67,52,59,66,51,69,68,62,64,68,82,80,81,50,92,60,71,72,71,56,59,54,67,71,60,22,21,21,15,10,11,8,12,0,1,0,1,0,1
45,187.96,218,68,77,67,52,59,66,51,69,68,62,64,68,82,80,81,50,92,60,71,72,71,56,59,54,67,71,60,22,21,21,15,10,11,8,12,0,1,0,1,0,1
46,175.26,165,69,78,69,52,62,68,51,70,71,64,64,71,82,80,81,50,92,60,71,72,71,56,59,54,67,72,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
47,185.42,181,70,78,72,52,62,71,51,72,72,64,64,71,82,80,81,50,92,60,71,72,71,56,59,54,67,72,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
48,187.96,170,71,78,73,52,62,71,51,74,72,64,64,73,82,80,81,50,92,60,71,72,71,56,59,54,67,72,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
49,182.88,165,70,76,72,52,62,69,51,73,70,64,64,72,74,79,81,50,84,56,71,72,71,51,59,44,68,72,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
50,182.88,168,70,76,72,52,62,69,51,73,70,64,64,72,74,79,81,50,84,56,71,72,71,51,59,44,68,72,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
51,182.88,190,70,76,72,52,62,69,51,73,70,64,64,72,74,79,81,50,84,56,71,72,71,51,59,44,68,73,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
52,172.72,157,70,76,72,52,62,67,51,73,70,64,61,72,74,79,81,50,84,56,71,72,71,51,59,44,68,73,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
53,182.88,154,69,76,72,56,62,66,51,73,70,64,62,72,74,79,81,50,84,62,71,72,71,52,59,44,66,73,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
54,177.8,154,69,76,72,56,62,66,51,73,70,64,62,72,74,79,81,50,84,62,71,72,71,52,59,44,66,73,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
55,172.72,146,69,76,72,56,62,66,51,73,70,64,62,72,74,79,81,50,84,62,71,72,71,52,59,44,66,73,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
56,182.88,172,65,72,63,56,62,61,51,67,43,41,53,67,76,80,81,50,87,62,71,72,71,52,59,44,64,63,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
57,175.26,172,65,75,65,61,62,63,56,66,43,41,57,67,76,75,76,50,84,67,77,81,68,61,59,44,64,63,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
58,187.96,165,65,75,65,61,62,63,56,66,43,41,57,67,76,75,76,50,84,67,77,73,68,61,59,44,64,63,63,22,21,21,15,10,11,8,12,0,1,0,1,0,1
59,175.26,157,67,78,69,69,62,65,63,67,43,41,58,74,68,75,66,51,56,74,56,68,68,76,59,44,62,67,64,22,21,21,15,10,11,8,12,0,1,0,1,0,1
60,180.34,159,67,78,69,69,62,65,63,67,43,41,58,74,68,75,66,51,56,74,56,68,68,76,59,44,62,67,64,22,21,21,15,10,11,8,12,0,1,0,1,0,1
61,185.42,176,65,70,69,69,45,63,63,67,43,41,54,68,71,77,66,51,56,74,56,69,68,67,59,44,50,67,66,22,21,21,8,21,54,21,21,0,1,0,1,0,1
62,182.88,165,65,70,69,69,45,63,63,67,43,41,54,68,71,77,66,51,56,74,56,69,68,67,59,44,50,67,66,22,21,21,8,21,54,21,21,0,1,0,1,0,1
63,185.42,161,59,70,63,69,45,53,63,65,43,41,54,54,65,72,66,51,56,64,56,69,68,63,59,35,30,67,36,21,21,21,8,21,54,21,21,0,1,0,1,0,1
64,185.42,179,59,70,63,69,45,53,63,65,43,41,54,54,65,72,66,51,56,64,56,69,68,63,59,35,30,67,36,21,21,21,8,21,54,21,21,0,1,0,1,0,1
65,180.34,148,69,69,57,21,68,65,48,56,38,40,61,62,33,34,62,57,41,59,71,49,90,29,70,62,26,54,37,72,71,68,15,12,13,12,11,0,1,0,1,0,1
66,182.88,170,69,69,57,21,68,65,48,56,38,40,61,62,33,34,62,57,41,65,71,49,90,29,70,62,26,54,37,72,71,68,15,12,13,12,11,0,1,0,1,0,1
67,177.8,165,69,69,57,21,68,65,48,56,38,40,61,62,33,37,62,57,41,65,71,49,87,29,70,62,26,54,37,72,71,68,15,12,13,12,11,0,1,0,1,0,1
68,187.96,174,69,69,57,21,68,65,48,56,38,40,61,62,33,37,62,57,41,65,71,49,87,29,70,62,26,54,37,72,71,68,15,12,13,12,11,0,1,0,1,0,1
69,180.34,165,67,67,56,20,67,64,47,55,37,39,60,61,37,40,63,56,44,64,73,59,86,28,68,61,25,53,36,66,68,65,14,11,12,11,10,0,1,0,1,0,1
70,193.04,168,67,67,56,20,67,64,47,55,37,39,60,61,37,40,63,56,44,64,73,59,86,28,68,61,25,53,36,66,68,65,14,11,12,11,10,0,1,0,1,0,1
71,193.04,185,67,67,56,20,67,64,47,55,37,39,60,61,37,40,63,56,44,64,73,59,86,28,68,61,25,53,36,66,68,65,14,11,12,11,10,0,1,0,1,0,1
72,177.8,168,67,67,56,20,67,64,47,55,37,39,60,61,37,40,63,56,44,64,73,59,81,28,68,61,25,53,36,66,68,65,14,11,12,11,10,0,1,0,1,0,1
73,182.88,168,67,67,56,20,67,64,47,55,37,39,60,61,37,40,63,56,44,64,73,59,81,28,68,61,25,53,36,66,68,65,14,11,12,11,10,0,1,0,1,0,1
74,177.8,176,67,67,57,21,68,65,48,56,38,40,61,62,50,48,63,57,45,65,71,39,78,29,69,62,26,54,37,67,69,66,14,11,12,11,10,0,1,0,1,0,1
75,180.34,154,67,67,57,21,68,65,48,56,38,40,61,62,50,48,63,57,45,65,71,39,78,29,69,62,26,54,37,67,69,66,14,11,12,11,10,0,1,0,1,0,1
